,Single Year of Age,Administrative Counties,VALUE
197,5 years,South Dublin County Council,4053
198,5 years,Kildare County Council,3296
199,5 years,Kilkenny County Council,1337
200,5 years,Laois County Council,1248
201,5 years,Longford County Council,646
202,5 years,Louth County Council,1793
203,5 years,Meath County Council,3121
204,5 years,Offaly County Council,1099
205,5 years,Westmeath County Council,1276
206,5 years,Wexford County Council,2022
207,5 years,Wicklow County Council,2076
208,5 years,Clare County Council,1620
209,5 years,Cork City Council,2362
210,5 years,Cork County Council,4753
211,5 years,Kerry County Council,1873
212,5 years,Limerick City & County Council,2484
213,5 years,Tipperary County Council,2070
214,5 years,Waterford City & County Council,1515
215,5 years,Galway City Council,849
216,5 years,Galway County Council,2612
217,5 years,Leitrim County Council,447
218,5 years,Mayo  County Council,1712
219,5 years,Roscommon County Council,913
220,5 years,Sligo County Council,819
221,5 years,Cavan County Council,1143
222,5 years,Donegal County Council,2174
223,5 years,Monaghan County Council,882
224,6 years,Ireland,66714
225,6 years,Carlow County Council,750
226,6 years,Dublin City Council,5813
227,6 years,Dún Laoghaire Rathdown County Council,2879
228,6 years,Fingal County Council,4863
229,6 years,South Dublin County Council,4198
230,6 years,Kildare County Council,3506
231,6 years,Kilkenny County Council,1432
232,6 years,Laois County Council,1328
233,6 years,Longford County Council,624
234,6 years,Louth County Council,1922
235,6 years,Meath County Council,3216
236,6 years,Offaly County Council,1079
237,6 years,Westmeath County Council,1352
238,6 years,Wexford County Council,2165
239,6 years,Wicklow County Council,2116
240,6 years,Clare County Council,1656
241,6 years,Cork City Council,2496
242,6 years,Cork County Council,5072
243,6 years,Kerry County Council,1848
244,6 years,Limerick City & County Council,2621
245,6 years,Tipperary County Council,2202
246,6 years,Waterford City & County Council,1627
247,6 years,Galway City Council,855
248,6 years,Galway County Council,2720
249,6 years,Leitrim County Council,468
250,6 years,Mayo  County Council,1764
251,6 years,Roscommon County Council,923
252,6 years,Sligo County Council,824
253,6 years,Cavan County Council,1176
254,6 years,Donegal County Council,2224
255,6 years,Monaghan County Council,995
256,7 years,Ireland,69001
257,7 years,Carlow County Council,889
258,7 years,Dublin City Council,5912
259,7 years,Dún Laoghaire Rathdown County Council,2974
260,7 years,Fingal County Council,5053
261,7 years,South Dublin County Council,4394
262,7 years,Kildare County Council,3655
263,7 years,Kilkenny County Council,1467
264,7 years,Laois County Council,1409
265,7 years,Longford County Council,676
266,7 years,Louth County Council,1950
267,7 years,Meath County Council,3439
268,7 years,Offaly County Council,1238
269,7 years,Westmeath County Council,1331
270,7 years,Wexford County Council,2233
271,7 years,Wicklow County Council,2197
272,7 years,Clare County Council,1663
273,7 years,Cork City Council,2564
274,7 years,Cork County Council,5342
275,7 years,Kerry County Council,1957
276,7 years,Limerick City & County Council,2603
277,7 years,Tipperary County Council,2236
278,7 years,Waterford City & County Council,1689
279,7 years,Galway City Council,893
280,7 years,Galway County Council,2659
281,7 years,Leitrim County Council,493
282,7 years,Mayo  County Council,1798
283,7 years,Roscommon County Council,1011
284,7 years,Sligo County Council,934
285,7 years,Cavan County Council,1162
286,7 years,Donegal County Council,2212
287,7 years,Monaghan County Council,968
288,8 years,Ireland,70733
289,8 years,Carlow County Council,819
290,8 years,Dublin City Council,6086
291,8 years,Dún Laoghaire Rathdown County Council,2985
292,8 years,Fingal County Council,5360
293,8 years,South Dublin County Council,4503
294,8 years,Kildare County Council,3699
295,8 years,Kilkenny County Council,1483
296,8 years,Laois County Council,1446
297,8 years,Longford County Council,661
298,8 years,Louth County Council,2059
299,8 years,Meath County Council,3593
300,8 years,Offaly County Council,1216
301,8 years,Westmeath County Council,1412
302,8 years,Wexford County Council,2292
303,8 years,Wicklow County Council,2237
304,8 years,Clare County Council,1670
305,8 years,Cork City Council,2516
306,8 years,Cork County Council,5410
307,8 years,Kerry County Council,1876
308,8 years,Limerick City & County Council,2770
309,8 years,Tipperary County Council,2314
310,8 years,Waterford City & County Council,1736
311,8 years,Galway City Council,923
312,8 years,Galway County Council,2915
313,8 years,Leitrim County Council,509
314,8 years,Mayo  County Council,1792
315,8 years,Roscommon County Council,982
316,8 years,Sligo County Council,942
