,Single Year of Age,Administrative Counties,VALUE
843,25 years,Meath County Council,2042
844,25 years,Offaly County Council,854
845,25 years,Westmeath County Council,1041
846,25 years,Wexford County Council,1537
847,25 years,Wicklow County Council,1345
848,25 years,Clare County Council,1258
849,25 years,Cork City Council,3512
850,25 years,Cork County Council,3092
851,25 years,Kerry County Council,1480
852,25 years,Limerick City & County Council,2626
853,25 years,Tipperary County Council,1622
854,25 years,Waterford City & County Council,1267
855,25 years,Galway City Council,1651
856,25 years,Galway County Council,1620
857,25 years,Leitrim County Council,286
858,25 years,Mayo  County Council,1136
859,25 years,Roscommon County Council,612
860,25 years,Sligo County Council,710
861,25 years,Cavan County Council,841
862,25 years,Donegal County Council,1476
863,25 years,Monaghan County Council,598
864,26 years,Ireland,58240
865,26 years,Carlow County Council,663
866,26 years,Dublin City Council,11664
867,26 years,Dún Laoghaire Rathdown County Council,3065
868,26 years,Fingal County Council,3581
869,26 years,South Dublin County Council,3394
870,26 years,Kildare County Council,2443
871,26 years,Kilkenny County Council,966
872,26 years,Laois County Council,892
873,26 years,Longford County Council,487
874,26 years,Louth County Council,1339
875,26 years,Meath County Council,2007
876,26 years,Offaly County Council,790
877,26 years,Westmeath County Council,1038
878,26 years,Wexford County Council,1580
879,26 years,Wicklow County Council,1380
880,26 years,Clare County Council,1179
881,26 years,Cork City Council,3390
882,26 years,Cork County Council,3074
883,26 years,Kerry County Council,1368
884,26 years,Limerick City & County Council,2557
885,26 years,Tipperary County Council,1530
886,26 years,Waterford City & County Council,1264
887,26 years,Galway City Council,1522
888,26 years,Galway County Council,1549
889,26 years,Leitrim County Council,282
890,26 years,Mayo  County Council,1128
891,26 years,Roscommon County Council,580
892,26 years,Sligo County Council,629
893,26 years,Cavan County Council,777
894,26 years,Donegal County Council,1507
895,26 years,Monaghan County Council,615
896,27 years,Ireland,58690
897,27 years,Carlow County Council,658
898,27 years,Dublin City Council,11941
899,27 years,Dún Laoghaire Rathdown County Council,2989
900,27 years,Fingal County Council,3641
901,27 years,South Dublin County Council,3538
902,27 years,Kildare County Council,2585
903,27 years,Kilkenny County Council,972
904,27 years,Laois County Council,897
905,27 years,Longford County Council,462
906,27 years,Louth County Council,1462
907,27 years,Meath County Council,2037
908,27 years,Offaly County Council,822
909,27 years,Westmeath County Council,1029
910,27 years,Wexford County Council,1582
911,27 years,Wicklow County Council,1400
912,27 years,Clare County Council,1180
913,27 years,Cork City Council,3461
914,27 years,Cork County Council,3045
915,27 years,Kerry County Council,1411
916,27 years,Limerick City & County Council,2467
917,27 years,Tipperary County Council,1547
918,27 years,Waterford City & County Council,1304
919,27 years,Galway City Council,1435
920,27 years,Galway County Council,1405
921,27 years,Leitrim County Council,275
922,27 years,Mayo  County Council,1115
923,27 years,Roscommon County Council,568
924,27 years,Sligo County Council,631
925,27 years,Cavan County Council,750
926,27 years,Donegal County Council,1442
927,27 years,Monaghan County Council,639
928,28 years,Ireland,58690
929,28 years,Carlow County Council,633
930,28 years,Dublin City Council,12020
931,28 years,Dún Laoghaire Rathdown County Council,2869
932,28 years,Fingal County Council,3597
933,28 years,South Dublin County Council,3546
934,28 years,Kildare County Council,2558
935,28 years,Kilkenny County Council,1016
936,28 years,Laois County Council,871
937,28 years,Longford County Council,442
938,28 years,Louth County Council,1498
939,28 years,Meath County Council,2096
940,28 years,Offaly County Council,829
941,28 years,Westmeath County Council,972
942,28 years,Wexford County Council,1537
943,28 years,Wicklow County Council,1443
944,28 years,Clare County Council,1187
945,28 years,Cork City Council,3461
946,28 years,Cork County Council,3066
947,28 years,Kerry County Council,1345
948,28 years,Limerick City & County Council,2373
949,28 years,Tipperary County Council,1576
950,28 years,Waterford City & County Council,1262
951,28 years,Galway City Council,1458
952,28 years,Galway County Council,1554
953,28 years,Leitrim County Council,291
954,28 years,Mayo  County Council,1180
955,28 years,Roscommon County Council,580
956,28 years,Sligo County Council,615
957,28 years,Cavan County Council,752
958,28 years,Donegal County Council,1475
959,28 years,Monaghan County Council,588
960,29 years,Ireland,60925
961,29 years,Carlow County Council,713
962,29 years,Dublin City Council,12132
963,29 years,Dún Laoghaire Rathdown County Council,2897
964,29 years,Fingal County Council,3797
965,29 years,South Dublin County Council,3636
966,29 years,Kildare County Council,2715
967,29 years,Kilkenny County Council,1089
968,29 years,Laois County Council,901
969,29 years,Longford County Council,461
970,29 years,Louth County Council,1505
971,29 years,Meath County Council,2169
972,29 years,Offaly County Council,842
973,29 years,Westmeath County Council,1095
974,29 years,Wexford County Council,1629
975,29 years,Wicklow County Council,1499
976,29 years,Clare County Council,1188
977,29 years,Cork City Council,3467
978,29 years,Cork County Council,3242
979,29 years,Kerry County Council,1443
980,29 years,Limerick City & County Council,2490
981,29 years,Tipperary County Council,1620
982,29 years,Waterford City & County Council,1320
983,29 years,Galway City Council,1468
984,29 years,Galway County Council,1712
985,29 years,Leitrim County Council,301
986,29 years,Mayo  County Council,1257
987,29 years,Roscommon County Council,629
988,29 years,Sligo County Council,707
989,29 years,Cavan County Council,791
990,29 years,Donegal County Council,1536
991,29 years,Monaghan County Council,674
992,30 years,Ireland,63699
993,30 years,Carlow County Council,705
994,30 years,Dublin City Council,12341
995,30 years,Dún Laoghaire Rathdown County Council,3112
996,30 years,Fingal County Council,3976
997,30 years,South Dublin County Council,3821
998,30 years,Kildare County Council,2860
999,30 years,Kilkenny County Council,1065
1000,30 years,Laois County Council,987
1001,30 years,Longford County Council,550
1002,30 years,Louth County Council,1570
1003,30 years,Meath County Council,2353
1004,30 years,Offaly County Council,940
1005,30 years,Westmeath County Council,1098
1006,30 years,Wexford County Council,1817
1007,30 years,Wicklow County Council,1525
1008,30 years,Clare County Council,1209
1009,30 years,Cork City Council,3437
1010,30 years,Cork County Council,3545
1011,30 years,Kerry County Council,1591
1012,30 years,Limerick City & County Council,2515
1013,30 years,Tipperary County Council,1744
1014,30 years,Waterford City & County Council,1434
1015,30 years,Galway City Council,1402
1016,30 years,Galway County Council,1803
1017,30 years,Leitrim County Council,336
1018,30 years,Mayo  County Council,1353
1019,30 years,Roscommon County Council,675
1020,30 years,Sligo County Council,668
1021,30 years,Cavan County Council,841
1022,30 years,Donegal County Council,1694
1023,30 years,Monaghan County Council,732
1024,31 years,Ireland,65947
1025,31 years,Carlow County Council,739
1026,31 years,Dublin City Council,12366
1027,31 years,Dún Laoghaire Rathdown County Council,3065
1028,31 years,Fingal County Council,4241
1029,31 years,South Dublin County Council,3963
1030,31 years,Kildare County Council,2990
1031,31 years,Kilkenny County Council,1213
1032,31 years,Laois County Council,1021
1033,31 years,Longford County Council,484
1034,31 years,Louth County Council,1676
1035,31 years,Meath County Council,2583
1036,31 years,Offaly County Council,925
1037,31 years,Westmeath County Council,1192
1038,31 years,Wexford County Council,1859
1039,31 years,Wicklow County Council,1673
1040,31 years,Clare County Council,1331
1041,31 years,Cork City Council,3581
1042,31 years,Cork County Council,3695
1043,31 years,Kerry County Council,1585
1044,31 years,Limerick City & County Council,2522
1045,31 years,Tipperary County Council,1775
1046,31 years,Waterford City & County Council,1461
1047,31 years,Galway City Council,1464
1048,31 years,Galway County Council,1930
1049,31 years,Leitrim County Council,366
1050,31 years,Mayo  County Council,1456
1051,31 years,Roscommon County Council,728
1052,31 years,Sligo County Council,695
1053,31 years,Cavan County Council,907
1054,31 years,Donegal County Council,1723
1055,31 years,Monaghan County Council,738
1056,32 years,Ireland,66795
1057,32 years,Carlow County Council,746
1058,32 years,Dublin City Council,12044
1059,32 years,Dún Laoghaire Rathdown County Council,3165
1060,32 years,Fingal County Council,4328
1061,32 years,South Dublin County Council,4048
1062,32 years,Kildare County Council,3013
1063,32 years,Kilkenny County Council,1150
1064,32 years,Laois County Council,1089
1065,32 years,Longford County Council,538
1066,32 years,Louth County Council,1655
1067,32 years,Meath County Council,2681
1068,32 years,Offaly County Council,923
1069,32 years,Westmeath County Council,1195
1070,32 years,Wexford County Council,1882
1071,32 years,Wicklow County Council,1702
1072,32 years,Clare County Council,1330
1073,32 years,Cork City Council,3564
1074,32 years,Cork County Council,3841
1075,32 years,Kerry County Council,1697
1076,32 years,Limerick City & County Council,2672
1077,32 years,Tipperary County Council,1814
1078,32 years,Waterford City & County Council,1550
1079,32 years,Galway City Council,1354
1080,32 years,Galway County Council,1954
1081,32 years,Leitrim County Council,380
1082,32 years,Mayo  County Council,1430
1083,32 years,Roscommon County Council,736
1084,32 years,Sligo County Council,742
1085,32 years,Cavan County Council,996
1086,32 years,Donegal County Council,1863
1087,32 years,Monaghan County Council,713
1088,33 years,Ireland,66377
1089,33 years,Carlow County Council,750
1090,33 years,Dublin City Council,11434
1091,33 years,Dún Laoghaire Rathdown County Council,3023
1092,33 years,Fingal County Council,4596
1093,33 years,South Dublin County Council,4079
1094,33 years,Kildare County Council,3187
1095,33 years,Kilkenny County Council,1131
1096,33 years,Laois County Council,1121
1097,33 years,Longford County Council,549
1098,33 years,Louth County Council,1736
1099,33 years,Meath County Council,2655
1100,33 years,Offaly County Council,934
1101,33 years,Westmeath County Council,1189
1102,33 years,Wexford County Council,1830
1103,33 years,Wicklow County Council,1780
1104,33 years,Clare County Council,1338
1105,33 years,Cork City Council,3338
1106,33 years,Cork County Council,3933
1107,33 years,Kerry County Council,1674
1108,33 years,Limerick City & County Council,2623
1109,33 years,Tipperary County Council,1829
1110,33 years,Waterford City & County Council,1462
1111,33 years,Galway City Council,1222
1112,33 years,Galway County Council,2096
1113,33 years,Leitrim County Council,379
1114,33 years,Mayo  County Council,1519
1115,33 years,Roscommon County Council,732
1116,33 years,Sligo County Council,753
1117,33 years,Cavan County Council,955
1118,33 years,Donegal County Council,1829
1119,33 years,Monaghan County Council,701
1120,34 years,Ireland,69405
1121,34 years,Carlow County Council,774
1122,34 years,Dublin City Council,11048
1123,34 years,Dún Laoghaire Rathdown County Council,3044
1124,34 years,Fingal County Council,4787
1125,34 years,South Dublin County Council,4370
1126,34 years,Kildare County Council,3343
1127,34 years,Kilkenny County Council,1230
1128,34 years,Laois County Council,1179
1129,34 years,Longford County Council,628
1130,34 years,Louth County Council,1831
1131,34 years,Meath County Council,2906
1132,34 years,Offaly County Council,1035
1133,34 years,Westmeath County Council,1238
1134,34 years,Wexford County Council,2019
1135,34 years,Wicklow County Council,1846
1136,34 years,Clare County Council,1455
1137,34 years,Cork City Council,3410
1138,34 years,Cork County Council,4254
1139,34 years,Kerry County Council,1724
1140,34 years,Limerick City & County Council,2738
1141,34 years,Tipperary County Council,1963
1142,34 years,Waterford City & County Council,1557
1143,34 years,Galway City Council,1332
1144,34 years,Galway County Council,2233
1145,34 years,Leitrim County Council,409
1146,34 years,Mayo  County Council,1634
1147,34 years,Roscommon County Council,782
1148,34 years,Sligo County Council,786
1149,34 years,Cavan County Council,988
1150,34 years,Donegal County Council,2023
1151,34 years,Monaghan County Council,839
1152,35 years,Ireland,72635
1153,35 years,Carlow County Council,833
1154,35 years,Dublin City Council,10932
1155,35 years,Dún Laoghaire Rathdown County Council,3054
1156,35 years,Fingal County Council,5012
1157,35 years,South Dublin County Council,4463
1158,35 years,Kildare County Council,3586
1159,35 years,Kilkenny County Council,1375
1160,35 years,Laois County Council,1353
1161,35 years,Longford County Council,613
1162,35 years,Louth County Council,1912
1163,35 years,Meath County Council,3156
1164,35 years,Offaly County Council,1074
1165,35 years,Westmeath County Council,1397
1166,35 years,Wexford County Council,2138
1167,35 years,Wicklow County Council,1983
1168,35 years,Clare County Council,1516
1169,35 years,Cork City Council,3467
1170,35 years,Cork County Council,4611
1171,35 years,Kerry County Council,1862
1172,35 years,Limerick City & County Council,2872
1173,35 years,Tipperary County Council,2157
1174,35 years,Waterford City & County Council,1745
1175,35 years,Galway City Council,1277
1176,35 years,Galway County Council,2431
1177,35 years,Leitrim County Council,443
1178,35 years,Mayo  County Council,1692
1179,35 years,Roscommon County Council,896
1180,35 years,Sligo County Council,840
1181,35 years,Cavan County Council,1079
1182,35 years,Donegal County Council,2016
1183,35 years,Monaghan County Council,850
1184,36 years,Ireland,74858
1185,36 years,Carlow County Council,835
1186,36 years,Dublin City Council,10619
1187,36 years,Dún Laoghaire Rathdown County Council,3188
1188,36 years,Fingal County Council,5327
1189,36 years,South Dublin County Council,4843
1190,36 years,Kildare County Council,3748
1191,36 years,Kilkenny County Council,1342
1192,36 years,Laois County Council,1384
1193,36 years,Longford County Council,678
1194,36 years,Louth County Council,1980
1195,36 years,Meath County Council,3249
1196,36 years,Offaly County Council,1102
1197,36 years,Westmeath County Council,1502
1198,36 years,Wexford County Council,2131
1199,36 years,Wicklow County Council,2102
1200,36 years,Clare County Council,1593
1201,36 years,Cork City Council,3461
1202,36 years,Cork County Council,4782
1203,36 years,Kerry County Council,2024
1204,36 years,Limerick City & County Council,3012
1205,36 years,Tipperary County Council,2146
1206,36 years,Waterford City & County Council,1737
1207,36 years,Galway City Council,1332
1208,36 years,Galway County Council,2494
1209,36 years,Leitrim County Council,451
1210,36 years,Mayo  County Council,1780
1211,36 years,Roscommon County Council,924
1212,36 years,Sligo County Council,935
1213,36 years,Cavan County Council,1151
1214,36 years,Donegal County Council,2112
1215,36 years,Monaghan County Council,894
1216,37 years,Ireland,75620
1217,37 years,Carlow County Council,908
1218,37 years,Dublin City Council,10110
1219,37 years,Dún Laoghaire Rathdown County Council,3237
1220,37 years,Fingal County Council,5336
1221,37 years,South Dublin County Council,4868
1222,37 years,Kildare County Council,3846
1223,37 years,Kilkenny County Council,1365
1224,37 years,Laois County Council,1441
1225,37 years,Longford County Council,620
1226,37 years,Louth County Council,1922
1227,37 years,Meath County Council,3332
1228,37 years,Offaly County Council,1161
1229,37 years,Westmeath County Council,1438
1230,37 years,Wexford County Council,2177
1231,37 years,Wicklow County Council,2267
1232,37 years,Clare County Council,1711
1233,37 years,Cork City Council,3631
1234,37 years,Cork County Council,4966
1235,37 years,Kerry County Council,2070
1236,37 years,Limerick City & County Council,3023
1237,37 years,Tipperary County Council,2159
1238,37 years,Waterford City & County Council,1712
1239,37 years,Galway City Council,1307
1240,37 years,Galway County Council,2597
1241,37 years,Leitrim County Council,445
1242,37 years,Mayo  County Council,1872
1243,37 years,Roscommon County Council,949
1244,37 years,Sligo County Council,938
1245,37 years,Cavan County Council,1182
1246,37 years,Donegal County Council,2106
1247,37 years,Monaghan County Council,924
1248,38 years,Ireland,78415
1249,38 years,Carlow County Council,948
1250,38 years,Dublin City Council,10136
1251,38 years,Dún Laoghaire Rathdown County Council,3445
1252,38 years,Fingal County Council,5608
1253,38 years,South Dublin County Council,4929
1254,38 years,Kildare County Council,4003
1255,38 years,Kilkenny County Council,1486
1256,38 years,Laois County Council,1538
1257,38 years,Longford County Council,711
1258,38 years,Louth County Council,2091
1259,38 years,Meath County Council,3457
1260,38 years,Offaly County Council,1175
1261,38 years,Westmeath County Council,1451
1262,38 years,Wexford County Council,2306
1263,38 years,Wicklow County Council,2354
1264,38 years,Clare County Council,1818
1265,38 years,Cork City Council,3465
1266,38 years,Cork County Council,5184
1267,38 years,Kerry County Council,2253
1268,38 years,Limerick City & County Council,3115
1269,38 years,Tipperary County Council,2318
1270,38 years,Waterford City & County Council,1805
1271,38 years,Galway City Council,1331
1272,38 years,Galway County Council,2751
1273,38 years,Leitrim County Council,483
1274,38 years,Mayo  County Council,1855
1275,38 years,Roscommon County Council,1005
1276,38 years,Sligo County Council,1016
1277,38 years,Cavan County Council,1267
1278,38 years,Donegal County Council,2155
1279,38 years,Monaghan County Council,956
1280,39 years,Ireland,81341
1281,39 years,Carlow County Council,1006
1282,39 years,Dublin City Council,9898
1283,39 years,Dún Laoghaire Rathdown County Council,3545
1284,39 years,Fingal County Council,5927
1285,39 years,South Dublin County Council,5217
1286,39 years,Kildare County Council,4331
1287,39 years,Kilkenny County Council,1588
1288,39 years,Laois County Council,1601
1289,39 years,Longford County Council,725
1290,39 years,Louth County Council,2093
1291,39 years,Meath County Council,3610
1292,39 years,Offaly County Council,1249
1293,39 years,Westmeath County Council,1515
1294,39 years,Wexford County Council,2308
1295,39 years,Wicklow County Council,2473
1296,39 years,Clare County Council,1774
1297,39 years,Cork City Council,3579
1298,39 years,Cork County Council,5638
1299,39 years,Kerry County Council,2251
1300,39 years,Limerick City & County Council,3230
1301,39 years,Tipperary County Council,2436
1302,39 years,Waterford City & County Council,1828
1303,39 years,Galway City Council,1391
1304,39 years,Galway County Council,2941
1305,39 years,Leitrim County Council,495
1306,39 years,Mayo  County Council,1992
1307,39 years,Roscommon County Council,979
1308,39 years,Sligo County Council,1023
1309,39 years,Cavan County Council,1297
1310,39 years,Donegal County Council,2358
1311,39 years,Monaghan County Council,1043
1312,40 years,Ireland,83444
1313,40 years,Carlow County Council,981
1314,40 years,Dublin City Council,9770
1315,40 years,Dún Laoghaire Rathdown County Council,3646
1316,40 years,Fingal County Council,6104
1317,40 years,South Dublin County Council,5397
1318,40 years,Kildare County Council,4366
1319,40 years,Kilkenny County Council,1586
1320,40 years,Laois County Council,1561
1321,40 years,Longford County Council,805
1322,40 years,Louth County Council,2289
1323,40 years,Meath County Council,3714
1324,40 years,Offaly County Council,1397
1325,40 years,Westmeath County Council,1504
1326,40 years,Wexford County Council,2519
1327,40 years,Wicklow County Council,2576
1328,40 years,Clare County Council,1906
1329,40 years,Cork City Council,3629
1330,40 years,Cork County Council,5802
1331,40 years,Kerry County Council,2351
1332,40 years,Limerick City & County Council,3294
1333,40 years,Tipperary County Council,2523
1334,40 years,Waterford City & County Council,1876
1335,40 years,Galway City Council,1394
1336,40 years,Galway County Council,3095
1337,40 years,Leitrim County Council,516
1338,40 years,Mayo  County Council,2069
1339,40 years,Roscommon County Council,1045
1340,40 years,Sligo County Council,1029
1341,40 years,Cavan County Council,1263
1342,40 years,Donegal County Council,2442
1343,40 years,Monaghan County Council,995
1344,41 years,Ireland,85097
1345,41 years,Carlow County Council,1024
1346,41 years,Dublin City Council,9839
1347,41 years,Dún Laoghaire Rathdown County Council,3739
1348,41 years,Fingal County Council,6243
1349,41 years,South Dublin County Council,5402
1350,41 years,Kildare County Council,4450
1351,41 years,Kilkenny County Council,1670
1352,41 years,Laois County Council,1629
1353,41 years,Longford County Council,777
1354,41 years,Louth County Council,2310
1355,41 years,Meath County Council,3818
1356,41 years,Offaly County Council,1318
1357,41 years,Westmeath County Council,1561
1358,41 years,Wexford County Council,2613
1359,41 years,Wicklow County Council,2635
1360,41 years,Clare County Council,1983
1361,41 years,Cork City Council,3561
1362,41 years,Cork County Council,5991
1363,41 years,Kerry County Council,2393
1364,41 years,Limerick City & County Council,3345
1365,41 years,Tipperary County Council,2580
1366,41 years,Waterford City & County Council,1999
1367,41 years,Galway City Council,1379
1368,41 years,Galway County Council,3183
1369,41 years,Leitrim County Council,540
1370,41 years,Mayo  County Council,2069
1371,41 years,Roscommon County Council,1100
1372,41 years,Sligo County Council,1055
1373,41 years,Cavan County Council,1332
1374,41 years,Donegal County Council,2487
1375,41 years,Monaghan County Council,1072
1376,42 years,Ireland,84981
1377,42 years,Carlow County Council,1045
1378,42 years,Dublin City Council,9325
1379,42 years,Dún Laoghaire Rathdown County Council,3690
1380,42 years,Fingal County Council,6350
1381,42 years,South Dublin County Council,5428
1382,42 years,Kildare County Council,4410
1383,42 years,Kilkenny County Council,1615
1384,42 years,Laois County Council,1635
1385,42 years,Longford County Council,822
1386,42 years,Louth County Council,2322
1387,42 years,Meath County Council,3899
1388,42 years,Offaly County Council,1333
1389,42 years,Westmeath County Council,1539
1390,42 years,Wexford County Council,2709
1391,42 years,Wicklow County Council,2744
1392,42 years,Clare County Council,2029
1393,42 years,Cork City Council,3435
1394,42 years,Cork County Council,6116
1395,42 years,Kerry County Council,2507
1396,42 years,Limerick City & County Council,3288
1397,42 years,Tipperary County Council,2581
1398,42 years,Waterford City & County Council,2094
1399,42 years,Galway City Council,1415
1400,42 years,Galway County Council,3155
1401,42 years,Leitrim County Council,538
1402,42 years,Mayo  County Council,2021
1403,42 years,Roscommon County Council,1079
1404,42 years,Sligo County Council,1089
1405,42 years,Cavan County Council,1280
1406,42 years,Donegal County Council,2512
1407,42 years,Monaghan County Council,976
1408,43 years,Ireland,80683
1409,43 years,Carlow County Council,950
1410,43 years,Dublin City Council,8851
1411,43 years,Dún Laoghaire Rathdown County Council,3477
1412,43 years,Fingal County Council,6013
1413,43 years,South Dublin County Council,5275
1414,43 years,Kildare County Council,4235
1415,43 years,Kilkenny County Council,1612
1416,43 years,Laois County Council,1460
1417,43 years,Longford County Council,744
1418,43 years,Louth County Council,2096
1419,43 years,Meath County Council,3773
1420,43 years,Offaly County Council,1236
1421,43 years,Westmeath County Council,1462
1422,43 years,Wexford County Council,2445
1423,43 years,Wicklow County Council,2530
1424,43 years,Clare County Council,1881
1425,43 years,Cork City Council,3287
1426,43 years,Cork County Council,5909
1427,43 years,Kerry County Council,2387
1428,43 years,Limerick City & County Council,3152
1429,43 years,Tipperary County Council,2485
1430,43 years,Waterford City & County Council,1983
1431,43 years,Galway City Council,1266
1432,43 years,Galway County Council,3028
1433,43 years,Leitrim County Council,526
1434,43 years,Mayo  County Council,1919
1435,43 years,Roscommon County Council,1007
1436,43 years,Sligo County Council,1039
1437,43 years,Cavan County Council,1243
1438,43 years,Donegal County Council,2427
1439,43 years,Monaghan County Council,985
1440,44 years,Ireland,77319
1441,44 years,Carlow County Council,907
1442,44 years,Dublin City Council,8370
1443,44 years,Dún Laoghaire Rathdown County Council,3246
1444,44 years,Fingal County Council,5683
1445,44 years,South Dublin County Council,4623
1446,44 years,Kildare County Council,3988
1447,44 years,Kilkenny County Council,1597
1448,44 years,Laois County Council,1467
1449,44 years,Longford County Council,674
1450,44 years,Louth County Council,2109
1451,44 years,Meath County Council,3614
1452,44 years,Offaly County Council,1240
1453,44 years,Westmeath County Council,1394
1454,44 years,Wexford County Council,2315
1455,44 years,Wicklow County Council,2515
1456,44 years,Clare County Council,1871
1457,44 years,Cork City Council,3103
1458,44 years,Cork County Council,5667
1459,44 years,Kerry County Council,2349
1460,44 years,Limerick City & County Council,3054
1461,44 years,Tipperary County Council,2382
1462,44 years,Waterford City & County Council,1940
1463,44 years,Galway City Council,1213
1464,44 years,Galway County Council,3027
1465,44 years,Leitrim County Council,518
1466,44 years,Mayo  County Council,1911
1467,44 years,Roscommon County Council,981
1468,44 years,Sligo County Council,981
1469,44 years,Cavan County Council,1216
1470,44 years,Donegal County Council,2426
1471,44 years,Monaghan County Council,938
1472,45 years,Ireland,76216
1473,45 years,Carlow County Council,945
1474,45 years,Dublin City Council,7914
1475,45 years,Dún Laoghaire Rathdown County Council,3052
1476,45 years,Fingal County Council,5650
1477,45 years,South Dublin County Council,4504
1478,45 years,Kildare County Council,3966
1479,45 years,Kilkenny County Council,1551
1480,45 years,Laois County Council,1422
1481,45 years,Longford County Council,756
1482,45 years,Louth County Council,2031
1483,45 years,Meath County Council,3524
1484,45 years,Offaly County Council,1219
1485,45 years,Westmeath County Council,1377
1486,45 years,Wexford County Council,2421
1487,45 years,Wicklow County Council,2417
1488,45 years,Clare County Council,1876
1489,45 years,Cork City Council,3078
1490,45 years,Cork County Council,5719
1491,45 years,Kerry County Council,2264
1492,45 years,Limerick City & County Council,3059
1493,45 years,Tipperary County Council,2443
1494,45 years,Waterford City & County Council,1919
1495,45 years,Galway City Council,1215
1496,45 years,Galway County Council,3038
1497,45 years,Leitrim County Council,506
1498,45 years,Mayo  County Council,1877
1499,45 years,Roscommon County Council,951
1500,45 years,Sligo County Council,1000
1501,45 years,Cavan County Council,1125
1502,45 years,Donegal County Council,2428
1503,45 years,Monaghan County Council,969
1504,46 years,Ireland,75416
1505,46 years,Carlow County Council,949
1506,46 years,Dublin City Council,7704
1507,46 years,Dún Laoghaire Rathdown County Council,3152
1508,46 years,Fingal County Council,5452
1509,46 years,South Dublin County Council,4446
1510,46 years,Kildare County Council,3946
1511,46 years,Kilkenny County Council,1620
1512,46 years,Laois County Council,1376
1513,46 years,Longford County Council,667
1514,46 years,Louth County Council,2117
1515,46 years,Meath County Council,3594
1516,46 years,Offaly County Council,1241
1517,46 years,Westmeath County Council,1305
1518,46 years,Wexford County Council,2289
1519,46 years,Wicklow County Council,2408
1520,46 years,Clare County Council,1952
1521,46 years,Cork City Council,3035
1522,46 years,Cork County Council,5624
1523,46 years,Kerry County Council,2273
1524,46 years,Limerick City & County Council,3023
1525,46 years,Tipperary County Council,2346
1526,46 years,Waterford City & County Council,1799
1527,46 years,Galway City Council,1210
1528,46 years,Galway County Council,2958
1529,46 years,Leitrim County Council,490
1530,46 years,Mayo  County Council,1950
1531,46 years,Roscommon County Council,1000
1532,46 years,Sligo County Council,975
1533,46 years,Cavan County Council,1152
1534,46 years,Donegal County Council,2428
1535,46 years,Monaghan County Council,935
1536,47 years,Ireland,74524
1537,47 years,Carlow County Council,871
1538,47 years,Dublin City Council,7408
1539,47 years,Dún Laoghaire Rathdown County Council,3137
1540,47 years,Fingal County Council,5484
1541,47 years,South Dublin County Council,4247
1542,47 years,Kildare County Council,3857
1543,47 years,Kilkenny County Council,1540
1544,47 years,Laois County Council,1339
1545,47 years,Longford County Council,681
1546,47 years,Louth County Council,2031
1547,47 years,Meath County Council,3564
1548,47 years,Offaly County Council,1224
1549,47 years,Westmeath County Council,1454
1550,47 years,Wexford County Council,2345
1551,47 years,Wicklow County Council,2458
1552,47 years,Clare County Council,1795
1553,47 years,Cork City Council,2969
1554,47 years,Cork County Council,5651
1555,47 years,Kerry County Council,2296
1556,47 years,Limerick City & County Council,2973
1557,47 years,Tipperary County Council,2500
1558,47 years,Waterford City & County Council,1830
1559,47 years,Galway City Council,1141
1560,47 years,Galway County Council,2896
1561,47 years,Leitrim County Council,493
1562,47 years,Mayo  County Council,1864
1563,47 years,Roscommon County Council,1031
1564,47 years,Sligo County Council,1023
1565,47 years,Cavan County Council,1158
1566,47 years,Donegal County Council,2322
1567,47 years,Monaghan County Council,942
1568,48 years,Ireland,73617
1569,48 years,Carlow County Council,841
1570,48 years,Dublin City Council,7478
1571,48 years,Dún Laoghaire Rathdown County Council,3184
1572,48 years,Fingal County Council,5310
1573,48 years,South Dublin County Council,4243
1574,48 years,Kildare County Council,3879
1575,48 years,Kilkenny County Council,1561
1576,48 years,Laois County Council,1368
1577,48 years,Longford County Council,626
1578,48 years,Louth County Council,2062
1579,48 years,Meath County Council,3426
1580,48 years,Offaly County Council,1204
1581,48 years,Westmeath County Council,1392
1582,48 years,Wexford County Council,2313
1583,48 years,Wicklow County Council,2415
1584,48 years,Clare County Council,1920
1585,48 years,Cork City Council,2811
1586,48 years,Cork County Council,5576
1587,48 years,Kerry County Council,2228
1588,48 years,Limerick City & County Council,2898
1589,48 years,Tipperary County Council,2392
1590,48 years,Waterford City & County Council,1798
1591,48 years,Galway City Council,1038
1592,48 years,Galway County Council,2948
1593,48 years,Leitrim County Council,499
1594,48 years,Mayo  County Council,1863
1595,48 years,Roscommon County Council,992
1596,48 years,Sligo County Council,945
1597,48 years,Cavan County Council,1161
1598,48 years,Donegal County Council,2354
1599,48 years,Monaghan County Council,892
1600,49 years,Ireland,73731
1601,49 years,Carlow County Council,946
1602,49 years,Dublin City Council,7404
1603,49 years,Dún Laoghaire Rathdown County Council,3159
1604,49 years,Fingal County Council,5147
1605,49 years,South Dublin County Council,4193
1606,49 years,Kildare County Council,3914
1607,49 years,Kilkenny County Council,1614
1608,49 years,Laois County Council,1319
1609,49 years,Longford County Council,688
1610,49 years,Louth County Council,2084
1611,49 years,Meath County Council,3450
1612,49 years,Offaly County Council,1184
1613,49 years,Westmeath County Council,1341
1614,49 years,Wexford County Council,2413
1615,49 years,Wicklow County Council,2411
1616,49 years,Clare County Council,1923
1617,49 years,Cork City Council,2842
1618,49 years,Cork County Council,5460
1619,49 years,Kerry County Council,2284
